Stock,Ages,Parameter,Year,0,1,2,3,4,5,6,7,8,Units,Ref
NSAS,0 to 8+,F,2013,0.03009489,0.0330379,0.06885861,0.13482199,0.22277344,0.28556089,0.30452564,0.40119407,0.40119407,NA,"Table 2.6.3.13, 2015 HAWG report"
NSAS,0 to 8+,F,2014,0.03024876,0.03284026,0.06885861,0.13482199,0.22277344,0.28556089,0.30452564,0.40119407,0.40119407,NA,"Table 2.6.3.13, 2015 HAWG report"
NSAS,0 to 8+,vul,2010,0.268904195,0.119564381,0.45685006,0.667777663,0.768895671,1,0.933513319,0.858215558,0.858215558,NA,F div by Fmax
NSAS,0 to 8+,vul,2011,0.123365966,0.127785794,0.275491086,0.511146013,0.634638348,0.786313285,0.841642444,1,1,NA,F div by Fmax
NSAS,0 to 8+,vul,2012,0.053426427,0.104616919,0.188803214,0.321598954,0.495469238,0.67324231,0.791005795,1,1,NA,F div by Fmax
NSAS,0 to 8+,vul,2013,0.075013297,0.082348924,0.171634167,0.336051802,0.555276004,0.711777445,0.759048208,1,1,NA,F div by Fmax
NSAS,0 to 8+,vul,2014,0.075396827,0.081856295,0.171634167,0.336051802,0.555276004,0.711777445,0.759048208,1,1,NA,F div by Fmax
BS,1 to 9+,waa,2010,9,16,21,26,28,36,34,38,51,g,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,waa,2011,9,15,22,25,27,29,31,37,47,g,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,waa,2012,7,15,22,26,30,32,37,40,52,g,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,waa,2013,10,17,23,25,30,34,37,38,54,g,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,waa,2014,10,17,24,31,32,37,43,50,55,g,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,mat,2010,0.05,0.87,1,1,1,1,1,1,1,NA,"Table 6.4.4, 2015 WGBFAS Report, Div 30"
BS,1 to 9+,mat,2011,0,0.45,1,1,1,1,1,1,0.97,NA,"Table 6.4.4, 2015 WGBFAS Report, Div 30"
BS,1 to 9+,mat,2012,0.01,0.75,0.97,0.98,1,1,0.94,1,0.99,NA,"Table 6.4.4, 2015 WGBFAS Report, Div 30"
BS,1 to 9+,mat,2013,0.11,0.77,0.98,1,1,1,1,1,0.98,NA,"Table 6.4.4, 2015 WGBFAS Report, Div 30"
BS,1 to 9+,mat,2014,0.16,0.7,1,1,1,1,0.94,0.95,0.93,NA,"Table 6.4.4, 2015 WGBFAS Report, Div 30"
BS,1 to 9+,M,2010,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,M,2011,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,M,2012,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,M,2013,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,M,2014,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,F,2009,0.035,0.091,0.099,0.11,0.126,0.12,0.115,0.136,0.133,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,F,2010,0.036,0.098,0.097,0.107,0.124,0.118,0.113,0.134,0.136,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,F,2011,0.038,0.093,0.102,0.111,0.131,0.123,0.119,0.141,0.172,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,F,2012,0.04,0.092,0.143,0.153,0.183,0.172,0.166,0.198,0.205,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,F,2013,0.041,0.102,0.144,0.151,0.184,0.173,0.167,0.199,0.202,NA,https://www.stockassessment.org/results.php?token=a1d3f7bd2bf69e219aef293fb2f92717
BS,1 to 9+,vul,2010,0.257352941,0.669117647,0.727941176,0.808823529,0.926470588,0.882352941,0.845588235,1,0.977941176,NA,F div by Fmax
BS,1 to 9+,vul,2011,0.264705882,0.720588235,0.713235294,0.786764706,0.911764706,0.867647059,0.830882353,0.985294118,1,NA,F div by Fmax
BS,1 to 9+,vul,2012,0.220930233,0.540697674,0.593023256,0.645348837,0.761627907,0.715116279,0.691860465,0.819767442,1,NA,F div by Fmax
BS,1 to 9+,vul,2013,0.195121951,0.448780488,0.697560976,0.746341463,0.892682927,0.83902439,0.809756098,0.965853659,1,NA,F div by Fmax
BS,1 to 9+,vul,2014,0.202970297,0.504950495,0.712871287,0.747524752,0.910891089,0.856435644,0.826732673,0.985148515,1,NA,F div by Fmax
GoR,1 to 8+,waa,2011,9.1,13.8,16.9,19.4,20.9,23.7,23.1,26,NA,g,"Table 6.3.6, 2015 WGBFAS Report"
GoR,1 to 8+,waa,2012,11.8,15.3,18.4,21.1,23,25.5,26.2,32.4,NA,g,"Table 6.3.6, 2015 WGBFAS Report"
GoR,1 to 8+,waa,2013,9.4,15.9,20.3,23.2,25.8,27.7,29.9,33.4,NA,g,"Table 6.3.6, 2015 WGBFAS Report"
GoR,1 to 8+,waa,2014,9.7,14.6,19.7,22.7,25.7,28.2,29.5,31.9,NA,g,"Table 6.3.6, 2015 WGBFAS Report"
GoR,1 to 8+,waa,2015,9.8,13.8,17.6,21.6,23.6,25.3,27.1,30.2,NA,g,"Table 6.3.6, 2015 WGBFAS Report"
GoR,1 to 8+,M,2011,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,"Table 6.3.7, 2015 WGBFAS Report"
GoR,1 to 8+,M,2012,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,"Table 6.3.7, 2015 WGBFAS Report"
GoR,1 to 8+,M,2013,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,"Table 6.3.7, 2015 WGBFAS Report"
GoR,1 to 8+,M,2014,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,"Table 6.3.7, 2015 WGBFAS Report"
GoR,1 to 8+,M,2015,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,"Table 6.3.7, 2015 WGBFAS Report"
GoR,1 to 8+,mat,2011,0,0.93,0.98,0.98,1,1,1,1,NA,NA,"Table 6.3.5, 2015 WGBFAS Report"
GoR,1 to 8+,mat,2012,0,0.93,0.98,0.98,1,1,1,1,NA,NA,"Table 6.3.5, 2015 WGBFAS Report"
GoR,1 to 8+,mat,2013,0,0.93,0.98,0.98,1,1,1,1,NA,NA,"Table 6.3.5, 2015 WGBFAS Report"
GoR,1 to 8+,mat,2014,0,0.93,0.98,0.98,1,1,1,1,NA,NA,"Table 6.3.5, 2015 WGBFAS Report"
GoR,1 to 8+,mat,2015,0,0.93,0.98,0.98,1,1,1,1,NA,NA,"Table 6.3.5, 2015 WGBFAS Report"
GoR,1 to 8+,F,2011,0.2175,0.2731,0.2727,0.3157,0.3694,0.3601,0.3821,0.3821,NA,NA,"Table 6.3.11, 2015 WGBFAS Report"
GoR,1 to 8+,F,2012,0.1168,0.2473,0.3659,0.3513,0.438,0.4044,0.4055,0.4055,NA,NA,"Table 6.3.11, 2015 WGBFAS Report"
GoR,1 to 8+,F,2013,0.1238,0.221,0.3189,0.3926,0.3803,0.3666,0.3982,0.3982,NA,NA,"Table 6.3.11, 2015 WGBFAS Report"
GoR,1 to 8+,F,2014,0.105,0.2347,0.2652,0.2728,0.3012,0.3508,0.3475,0.3475,NA,NA,"Table 6.3.11, 2015 WGBFAS Report"
GoR,1 to 8+,F,2015,0.1474,0.1889,0.2746,0.3091,0.3692,0.3664,0.3889,0.3889,NA,NA,"Table 6.3.11, 2015 WGBFAS Report"
GoR,1 to 8+,vul,2011,0.569222717,0.714734363,0.713687516,0.826223502,0.966762628,0.942423449,1,1,NA,NA,F div by Fmax
GoR,1 to 8+,vul,2012,0.266666667,0.564611872,0.835388128,0.802054795,1,0.923287671,0.925799087,0.925799087,NA,NA,F div by Fmax
GoR,1 to 8+,vul,2013,0.310899046,0.554997489,0.800853842,0.985936715,0.955047715,0.920642893,1,1,NA,NA,F div by Fmax
GoR,1 to 8+,vul,2014,0.299315849,0.669042189,0.755986317,0.777651083,0.858608894,1,0.99059293,0.99059293,NA,NA,F div by Fmax
GoR,1 to 8+,vul,2015,0.379017742,0.485728979,0.706094112,0.794805863,0.949344304,0.94214451,1,1,NA,NA,F div by Fmax
WBSS,0 to 8+,waa,2010,0.1,14.04,62.65,97.35,128.33,161.76,181.31,202.29,204.47,g,"Table 3.6.3, 2015 HAWG report"
WBSS,0 to 8+,waa,2011,0.1,9,58,95,126,156,173,185,192,g,"Table 3.6.3, 2015 HAWG report"
WBSS,0 to 8+,waa,2012,0.1,12,50,92,114,158,178,191,201,g,"Table 3.6.3, 2015 HAWG report"
WBSS,0 to 8+,waa,2013,0.1,14,56,95,129,143,161,179,199,g,"Table 3.6.3, 2015 HAWG report"
WBSS,0 to 8+,waa,2014,0.1,16,52,81,130,165,174,190,205,g,"Table 3.6.3, 2015 HAWG report"
WBSS,0 to 8+,M,2010,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,"Table 3.6.4, 2015 HAWG report"
WBSS,0 to 8+,M,2011,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,"Table 3.6.4, 2015 HAWG report"
WBSS,0 to 8+,M,2012,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,"Table 3.6.4, 2015 HAWG report"
WBSS,0 to 8+,M,2013,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,"Table 3.6.4, 2015 HAWG report"
WBSS,0 to 8+,M,2014,0.3,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,"Table 3.6.4, 2015 HAWG report"
WBSS,0 to 8+,mat,2010,0,0,0.2,0.75,0.9,1,1,1,1,NA,"Table 3.6.5, 2015 HAWG report"
WBSS,0 to 8+,mat,2011,0,0,0.2,0.75,0.9,1,1,1,1,NA,"Table 3.6.5, 2015 HAWG report"
WBSS,0 to 8+,mat,2012,0,0,0.2,0.75,0.9,1,1,1,1,NA,"Table 3.6.5, 2015 HAWG report"
WBSS,0 to 8+,mat,2013,0,0,0.2,0.75,0.9,1,1,1,1,NA,"Table 3.6.5, 2015 HAWG report"
WBSS,0 to 8+,mat,2014,0,0,0.2,0.75,0.9,1,1,1,1,NA,"Table 3.6.5, 2015 HAWG report"
WBSS,0 to 8+,F,2010,0.0068302,0.1135514,0.2213522,0.2659093,0.3485408,0.4139252,0.4139252,0.4139252,0.4139252,NA,"Table 3.6.13, 2015 HAWG report"
WBSS,0 to 8+,F,2011,0.0039513,0.0903648,0.1727517,0.2151327,0.2949941,0.3560443,0.3560443,0.3560443,0.3560443,NA,"Table 3.6.13, 2015 HAWG report"
WBSS,0 to 8+,F,2012,0.0042095,0.0913004,0.176312,0.2247874,0.3153412,0.3817421,0.3817421,0.3817421,0.3817421,NA,"Table 3.6.13, 2015 HAWG report"
WBSS,0 to 8+,F,2013,0.0041229,0.0890284,0.171787,0.2232864,0.320107,0.3822999,0.3822999,0.3822999,0.3822999,NA,"Table 3.6.13, 2015 HAWG report"
WBSS,0 to 8+,F,2014,0.0025532,0.0719992,0.1389835,0.1823915,0.262029,0.2999318,0.2999318,0.2999318,0.2999318,NA,"Table 3.6.13, 2015 HAWG report"
WBSS,0 to 8+,vul,2010,0.016501049,0.274328309,0.534763769,0.642409063,0.842038127,1,1,1,1,NA,F div by Fmax
WBSS,0 to 8+,vul,2011,0.011097776,0.253802125,0.485197207,0.604230148,0.828532011,1,1,1,1,NA,F div by Fmax
WBSS,0 to 8+,vul,2012,0.011027078,0.239167752,0.461861555,0.588846239,0.826058221,1,1,1,1,NA,F div by Fmax
WBSS,0 to 8+,vul,2013,0.010784465,0.232875813,0.449351412,0.584060838,0.837319079,1,1,1,1,NA,F div by Fmax
WBSS,0 to 8+,vul,2014,0.008512602,0.240051905,0.463383676,0.60810991,0.873628605,1,1,1,1,NA,F div by Fmax
